Current price,Origninal price,Listing title,Condition
£551.77GBP,£776.75,Electra Omega X220 Sunburst,Very Good
"£1,643.90GBP","£1,643.90GBP",Washburn N4 Esanm Nuno Bettencourt Signature Mod /1101,Very Good
£491.69GBP,£578.46,Zemaitis Z22Ec Black BLACKFRIDAY202015,Very Good
"£3,157.50GBP","£3,157.50GBP",Collings City Limits 2017 Gloss,Mint
"£1,767.35GBP","£1,767.35GBP",Gibson Les Paul Classic Bonamassa Pickups 2019 Translucent Cherry,Mint
£803GBP,£803GBP,Fender Mexico Classic Series 50S Stratocaster 2Cs /1101,Very Good
£646.97GBP,£646.97GBP,Paul Reed Smith SE CUSTOM 24 /1101,Very Good
"£2,722.19GBP","£2,722.19GBP",2014 Paul Reed Smith Santana III Tigerburst with OHSC,Excellent
"£2,285.24GBP","£2,285.24GBP",1981 Ibanez PS-10 Iceman Paul Stanley Signature Electric Guitar w/OHSC,Very Good
"£1,104.34GBP","£1,104.34GBP",Framus Panthera Studio Custom 2001 Mahogany Natural,Excellent
"£1,309.16GBP","£1,309.16GBP",Fender USA Eric Clapton Stratocaster Black /1101,Very Good
"£2,009.22GBP","£2,009.22GBP",J.W.Black Jwb-Jp-S 2Color Sunburst /1101,Very Good
£905.75GBP,£905.75GBP,Fender Mexico Deluxe Lone Star Stratocaster Black /1101,Very Good
"£1,223.53GBP","£1,223.53GBP",Gibson Explorer 120th anniversary 2014 Black,Excellent
£466.82GBP,£466.82GBP,Epiphone Les Paul Custom Pro 2009 Alpin White,Excellent
£236.02GBP,£275.49,Vetura LP Single Cut MIJ 1980 Black,Fair
£102.62GBP,£102.62GBP,Johnson Stratocaster Red,Very Good
"£217,078.13GBP","£217,078.13GBP","1960 Gibson Les Paul Standard ""Burst""",Very Good
£738.07GBP,£868.31,2011 Paul Reed Smith PRS SE Custom 24 Japan Only Ultra Rare Electric Guitar - Bonnie Pink + Gig Bag,Very Good
£237.29GBP,£279.16,Ibanez RG370DX Black with DiMarzio Pickups (John Petrucci Set),Good
"£1,773.93GBP","£1,773.93GBP",Gibson Les Paul Standard 1990 - 2001,Good
£730.17GBP,£867.52,G&L ASAT 1995 Green USA Made,Very Good
£268.38GBP,£315.74,Custom Swirl Painted and Upgraded Yamaha ERG 121 Electric Guitar,Very Good
£354.43GBP,£354.43GBP,Jackson LATXMG 3-6 in Black,Very Good
"£3,995GBP","£3,995GBP",♚ CRAZY ! ♚ 2014 GIBSON Custom Shop LES PAUL * CLASS 5 ♚ AMBER 'AAAAA' TIGER TOP♚1958* 58*59*R8*R9,Excellent
£859.63GBP,£859.63GBP,Charvel 5A Champagne Sparkle 1987 Neck through Body Japan,Good
"£1,674.07GBP","£1,969.49",2018 Gretsch G6131T-62 Vintage Select ’62 Jet Firebird Electric Guitar w/OHSC,Excellent
"£2,054.02GBP","£2,054.02GBP",Ibanez PGM301 WH Paul Gilbert Signature guitar 2008,Excellent
"£1,695GBP","£1,695GBP",Paul Reed Smith Custom 22 2003 Honey Burst. Lovely Modern Vintage Hard Tail PRS,Very Good
"£1,799GBP","£1,799GBP",Paul Reed Smith PRS 35th Anniversary S2 Custom 24 2020 Burnt Amber Burst,Mint
"£1,814.77GBP","£1,814.77GBP",Original 1959 Gibson Melody Maker,Very Good
"£3,709.27GBP","£3,709.27GBP",Paul Reed Smith Custom 24 30th anniversary 2015 Green 10 top,Mint
£709.65GBP,£709.65GBP,Fender Deluxe Series Toronado,Very Good
"£8,869.63GBP","£8,869.63GBP",Fender Stratocaster 1970 Sunburst Hendrix Era,Very Good
"£1,577.86GBP","£1,577.86GBP",Gibson Les Paul Traditional 2015,Very Good
"£1,599GBP","£1,599GBP",Fender American Vintage '56 Stratocaster 2012 Aged White Blonde,Excellent
"£2,995GBP","£2,995GBP",2011 Gibson Les Paul R8 Custom Shop 1958 Reissue - Washed Cherry VOS,Excellent
£650GBP,£650GBP,Gibson LPM etune 2014 sunburst,Fair
£150.96GBP,£177.60,2019 Jackson JS22 Monarakh Electric Guitar White With Deluxe SKB Roadcase Nice,Excellent
"£1,213.74GBP","£1,213.74GBP",Fender American Professional Series Maple Neck Telecaster With Upgrades,Mint
"£2,380.80GBP","£2,380.80GBP",Meloduende TANGERINE,Mint
"£1,341.94GBP","£1,499.81",Gibson Les Paul Studio (SERIOUS UPGRADES),Excellent
"£2,775GBP","£2,775GBP","Suhr Limited Edition Standard 2003/4 2003 Honeyburst quilted top with case, mint condition!",Mint
"£2,250GBP","£2,250GBP",♚AMAZING♚Players 2017 GIBSON LES PAUL STANDARD USA ♚ BOURBON BURST AAA Fiddleback Flame♚ 8.8 LB♚OHSC,Very Good
"£1,078.36GBP","£1,078.36GBP",RIF 630 1973 Greco Telecaster Thinline TE500N Japan Matsumoku Vintage,Very Good
£434.16GBP,£434.16GBP,Fender Special Edition Custom Telecaster FMT HH 2004 - 2017,Excellent
"£1,699GBP","£1,699GBP",Crazy RARE Washburn USA Custom Shop AAA Quilt 10 Top Artist Guitar! 7 pickups & inputs! PRS style!,Very Good
"£1,299GBP","£1,299GBP",Ibanez PGM100 Paul Gilbert in Jewel Blue - 1991,Good
"£2,054.02GBP","£2,054.02GBP",Ibanez PGM301 WH Paul Gilbert Signature guitar 2008,Excellent
"£1,799GBP","£1,799GBP",Paul Reed Smith PRS 35th Anniversary S2 Custom 24 2020 Burnt Amber Burst,Mint
"£2,147.39GBP","£2,147.39GBP","Gibson Les Paul Standard ""T"" Tea Burst Flame Killer Top del 2016",Very Good
£791.73GBP,£791.73GBP,Fender Vintera '70s Stratocaster Aged Natural 2019,Mint
£882.30GBP,£882.30GBP,RIF 626 1971 Vintage Ibanez Les Paul Bass 2350B Lawsuit Era,Good
£700.23GBP,£700.23GBP,Paul Reed Smith SE Mark Tremonti Custom 2012 - 2016,Excellent
£653.55GBP,£746.92,Flaxwood Aija 2009 Black,Excellent
"£1,492.90GBP","£1,492.90GBP",Fender 60th Anniversary American Series Telecaster 2006,Very Good
£650GBP,£650GBP,Tokai Breezy Sound 90's Candy Apple Red,Very Good
"£1,577.86GBP","£1,577.86GBP",Gibson Les Paul Traditional 2015,Very Good
"£1,495GBP","£1,495GBP",♚ PRISTINE ! ♚ 2018 FENDER AMERICAN Professional STRATOCASTER USA ♚ SUNBURST / MAPLE ♚ COA,Mint
"£2,007.34GBP","£2,007.34GBP",PRS PRS Custom 22 Orange Flamed Top 1997,Mint
£550GBP,£550GBP,Yamaha SJ 550 HM (Super Jam) 1985 Black Cherry,Good
£757.71GBP,£757.71GBP,Fender Made in Japan Traditional 60s Stratocaster SN:0014 ≒3.25kg 2019 Arctic White (Free Shipping!）,Mint
"£2,054.02GBP","£2,054.02GBP",1974 Guild M75 Bluesbird,Good
"£1,195GBP","£1,195GBP",Charvel Model 7 Telecaster. 1989 Japan. Cobalt Blue. Stunning Condition! + Hardcase.,Excellent
£995GBP,£995GBP,Charvel Spectrum. Japan 1990. Desert Crackle. Rare. Lovely Original Condition! + Hardcase.,Very Good
£251.15GBP,£251.15GBP,Ibanez ART 80 BK Black*nice guitar*rare*super tone,Mint
"£2,995GBP","£2,995GBP",2015 Fender Custom Shop '63 RI Relic Stratocaster in Sunburst finish with hard shell case,Good
£795GBP,£795GBP,Charvel Model 4. Japan 1989. Black Cherry. Excellent Condition! + Hiscox Hardcase.,Very Good
£648.03GBP,£720.04,Fender Made in Japan Traditional 50s Stratocaster SN:8056 ≒3.40kg 2019 Black,Mint
£653.51GBP,£653.51GBP,Fender Vintera '60s Mustang with Pau Ferro Fretboard 2019 Lake Placid Blue,Excellent
"£1,353.79GBP","£1,353.79GBP","Gibson Firebrand ""The SG"" Standard 1979 - 1982",Very Good
£644.22GBP,£644.22GBP,Greco Super Sounds,Very Good
£925GBP,£925GBP,Charvel 475 Deluxe Exotic. Japan 1990. Transparent Amber. Pristine Condition! + Hiscox Hardcase.,Excellent
"£2,372.86GBP","£2,791.60",Gibson Les Paul Tribute 1952 Goldtop,Excellent
"£1,209.86GBP","£1,512.33",Fender American Vintage '72 Telecaster Custom 2010 Sunburst,Excellent
"£3,867.15GBP","£3,867.15GBP",Gibson Custom Shop Standard Historic '59 Les Paul Aged Bourbon Burst 2016,Excellent
"£1,495GBP","£1,495GBP",Charvel Model 6. Japan 1988. Pearl White. Absolutely Immaculate Original Condition! + OHSC.,Excellent
£552.56GBP,£552.56GBP,Fender Vintera 50’s Telecaster 2019 Fiesta Red,Mint
"£2,107.24GBP","£2,107.24GBP",RIF 625 Fender Stratocaster JV 57-65 Fiesta Red 1983 With Hard Case,Very Good
"£1,195GBP","£1,195GBP",Music Man Axis Super Sport - Left Handed - Vintage White - Owned by Mikey Demus,Good
"£2,334.11GBP","£2,334.11GBP",Schecter Traditional HSS Custom Shop,Mint
"£1,353.79GBP","£1,353.79GBP",Gibson Les Paul Special DC 1996,Good
"£3,267.76GBP","£3,267.76GBP",ESP Alexi Laiho Signature 2006 - 2008 White with Black Pinstripe,Mint
£117.64GBP,£117.64GBP,RIF 624 Yamaha RGX121Z as is,Good
£653.55GBP,£653.55GBP,Gibson Les Paul Melody Maker 2014,Very Good
"£9,942.18GBP","£9,942.18GBP",FENDER Stratocaster 1965 (lg head) sunburst (2 tone fade),Very Good
£895GBP,£895GBP,Custom Built Road Worn Relic Telecaster Jazzmaster Hybrid Ocean Turquoise,Good
"£1,999.99GBP","£2,500",Fender Hot Rod 60s Telecaster Crafted in Japan MIJ Upgraded Gibson Firebird Seymour Duncan Pickups,Excellent
"£1,213.74GBP","£1,213.74GBP",Gibson Explorer 120th Anniversary Cherry del 2014,Very Good
"£2,800GBP","£2,800GBP",Ibanez RGDR7UCS 7 Strings Uppercut RARE,Mint
"£2,317.66GBP","£2,317.66GBP",Fender Custom Shop 2007 Team Build 1961 Stratocaster Relic 3CS 2007 3-Color Sunburst,Very Good
£600GBP,£790,Kramer Sm-1 2019 Black,Mint
£750GBP,£750GBP,Greco GT-850 singlecut 2002 bourbon burst,Excellent
"£1,425GBP","£1,425GBP",✯ WONDERFUL ✯ 2006 FENDER AMERICAN STANDARD TELECASTER 60th USA ✯ PIANO BLACK ✯ Professional,Excellent
"£1,381.41GBP","£1,381.41GBP",Ibanez RGD7UC-ISH RGD Prestige Uppercut Series HH Deep Cutaway 7-String Electric Guitar Invisible Shadow,Very Good
£652.62GBP,£652.62GBP,Godin Redline2 HB Black HG RN mit Bag Ladendemo im Topzustand,Mint
£715.85GBP,£795.39,Fender MIJ Traditional FSR 50s Stratocaster w/Competition Stripe 2018 Inca Silver (Free Shipping!),Mint
£592.03GBP,£592.03GBP,PRS SE custom 22 Blue Whale,Mint
"£1,359.15GBP","£1,599",Killer B Super strat T Hawk 2020 Blue / Black Sunburst Custom Shop Masterbuilt Super Strat,Mint
£947.25GBP,£947.25GBP,Very RARE! Fender Japan ST-235M/MST-35 3pick-ups 1990 Cnady Red.,Excellent
£475GBP,£475GBP,Fender Stratocaster 2000,Mint
"£2,600GBP","£2,600GBP",Xotic XSC-1 California Classic Stratocaster 2019 2 tone burst light relic,Mint
"£1,495GBP","£1,495GBP",♚ BEAUTIFUL ! ♚ 1999 FENDER American Standard Stratocaster USA ♚ SUNBURST ♚ Professional,Excellent
"£1,894.50GBP","£1,894.50GBP",1977 Ibanez Artist Steve Miller Active EQ 2622 Antique Violin Finish MIJ Original Case,Very Good
£513.09GBP,£513.09GBP,Ibanez Roadstar II RS135 Comet Series 1984 White + Original Hardshell Case,Very Good
£956.99GBP,£956.99GBP,Fender Stratocaster ri62 Japan Jupiter blue 2010/11 Jupiter blue,Excellent
"£1,674.50GBP","£1,674.50GBP",Ernie Ball Music Man JP6 John Petrucci Electric Guitar Mystic Dream,Good
£180.77GBP,£180.77GBP,"Customized Yamaha PAC012, Pacifica Series, HSS, Electric Guitar, Natural Satin Finish",Good
£725GBP,£725GBP,Ibanez RG2570E Prestige,Very Good
£236.02GBP,£236.02GBP,Stagg M350 Jaguar Style Electric Guitar 2000s Tobacco Burst,Good
£795GBP,£795GBP,Paul Reed Smith Mira X 2009 Sepia Burst,Very Good
£355.61GBP,£418.36,Custom Swirl Painted and Upgraded (MIK) Epiphone Super Strat With Seymore Duncan Jr. Pickup,Very Good
"£18,941.05GBP","£18,941.05GBP",1952 Gibson Les Paul Goldtop Finish Trapeze Tailpiece Vintage Electric Guitar w/OHSC Watch The Demo!,Very Good
£634.31GBP,£634.31GBP,Silvertone 1448 with Case Amp 1960's,Excellent
"£21,707.81GBP","£21,707.81GBP",EXTREMELY RARE #2 of 22 1992 Fender Custom Shop Matched Set Telecaster Stratocaster Twins John Page,Mint
£234.83GBP,£276.27,Custom Painted and Upgraded Gibson Baldwin Music Education Signature Series SG Electric Guitar,Very Good
£789.37GBP,£789.37GBP,EVH Wolfgang Special Burgandy Mist Metallic Mint New Open Box,Mint
£436.13GBP,£513.09,Ibanez S470 2001 Jewel Blue,Very Good
£350GBP,£350GBP,Squier Master Series Thinline Tele HH (2004) - Crimson Tranparent,Excellent
"£1,811.62GBP","£1,811.62GBP",Unique! 2003 Warrior Isabella Spalted Maple Gold HW Bartolini Piezo + Case (2998),Very Good
£380GBP,£380GBP,G&L Tribute Series ASAT Special with Maple Fretboard Surf Green,Mint
£839.35GBP,"£1,400.47",Burns Baby Bison Guitar 1966 Sumburst Baldwin,Good
£177.61GBP,£177.61GBP,Austin Single Cut Les Paul Late 80's Black,Very Good
£595GBP,£595GBP,Gordon Smith Graduate Slimline (1990's) Tobacco Sunburst,Good
"£1,119.12GBP","£1,391.34",Epiphone Olympic Special Sunburst 1965,Excellent
£604.93GBP,£604.93GBP,Godin Convertible Icon Type 2,Good
"£1,026.19GBP","£1,026.19GBP",1976 Gibson L6-S Custom Maple + Original Hardshell Case,Very Good
"£1,574.80GBP","£1,574.80GBP",Vintage! 80’s Steinberger GR-4 Super Strat HSS Metallic Red + OGB (3339),Excellent
£745.96GBP,£745.96GBP,Fender Classic Series '60s Stratocaster Lacquer - 2014 - Fender Custom Shop '69 Pickups - Sunburst,Excellent
"£9,310.68GBP","£9,310.68GBP",1961 Gretsch Jet Firebird,Excellent
"£1,680.56GBP","£1,680.56GBP",Mosrite Bass mark 1 reissue,Excellent
£374.95GBP,£374.95GBP,Paul Reed Smith SE 245 Standard 2018 - 2019,Mint
"£1,732.68GBP","£1,732.68GBP",MINT Gibson Les Paul Standard AA Maple Premium Plus Top 2010 Honey Sunburst Electric Guitar W/ OHSC,Excellent
£577.93GBP,£577.93GBP,RIF 614 Epiphone Sheraton Made In Korea 1999 With Epiphone Hard Case,Good
£480.36GBP,£480.36GBP,RIF 621 Ibanez Joe Satriani JS100 del 1994,Good
£882.30GBP,£882.30GBP,RIF 617 Fender Stratocaster Highway 2003 Natural Made in USA,Very Good
"£2,900GBP","£2,900GBP",Fender '62 Telecaster Custom 2017 Dakota Red,Mint
£291.28GBP,£291.28GBP,Schecter Diamond Series C-1 Plus Flamed Black Cherry Burst 2008 Upgraded Pickup,Very Good
£825GBP,£825GBP,Ibanez AT10RP CLW Premium Andy Timmons Signature,Excellent
£512.30GBP,£512.30GBP,Guild T‑Bird ST Newark St. Electric Guitar w/ Gigbag – Vintage White,Excellent
£785.43GBP,£785.43GBP,1960's Silvertone Sears 1457 Amp in Case Red-Burst Danelectro AIC All Tube-Works,Very Good
£931.31GBP,£931.31GBP,RIF 615 Gibson Les Paul Studio 2013 Tobacco With Original Hard Case,Good
£261.42GBP,£392.13,Vintage V52BS Reissued Butterscotch,Good
"£3,942.93GBP","£3,942.93GBP",Super Clean 1966 Fender Jaguar one owner with hangtag & original case,Excellent
£545GBP,£545GBP,Gibson SG Fusion 2017 Blue,Mint
"£5,130.15GBP","£5,130.15GBP",2013 Paul Reed Smith PRS SC-58 Singlecut SC58 Private Stock ~ Black Gold,Excellent
"£1,002.74GBP","£1,002.74GBP",Fender FSR MiJ Stratocaster XII 12-String 2018 Sunburst,Mint
"£3,267.76GBP","£3,267.76GBP",Fender Telecaster JV 52-95 1982 Squier Series Butterscotch Very Rare,Excellent
"£9,310.68GBP","£9,310.68GBP",1961 Gretsch Jet Firebird,Excellent
£315.75GBP,£315.75GBP,Epiphone SG 2010s Pirates of the Caribbean,Mint
"£1,680.56GBP","£1,680.56GBP",Mosrite Bass mark 1 reissue,Excellent
"£1,243.26GBP","£1,243.26GBP",Fender American Elite Telecaster 2015 3TS w/ Case,Good
"£1,144.59GBP","£1,144.59GBP","1960's Hofner Galaxie 176 ""Sunburst""",Excellent
"£2,130.52GBP","£2,130.52GBP",Strandberg Boden Metal 6 Sarah Longfield,Mint
£354.43GBP,£354.43GBP,Samick Greg Bennett Ultramatic UM4 Quilted Sunburst 2003,Very Good
£749.91GBP,£947.25,1985 Fender Contemporary Stratocaster System 3 Tremelo MIJ w/ Upgrades,Good
"£3,156.71GBP","£3,156.71GBP",2008 Paul Reed Smith PRS Al Dimeola Prism with One-Piece Flame Top & Birds ~ Prism (Rainbow Fade),Very Good
"£4,103.96GBP","£4,103.96GBP",2020 Gibson Les Paul 1959 Custom Shop 59 Historic Reissue Flame Top VOS ~ Kentucky Bourbon Fade,Mint
£611.77GBP,£611.77GBP,Ibanez Premium RG927QM,Mint
£850GBP,£850GBP,Fender Reissue Series '50s Telecaster MIJ 1996 - 1997 Sonic Blue,Excellent
£769.64GBP,£769.64GBP,Ovation Preacher Mahogany,Good
"£2,800.94GBP","£2,800.94GBP",Levin Model 1900 Solidbody 1960,Very Good
£186.73GBP,£186.73GBP,Aria Retro Classic 1532 2018 sunburst,Mint
"£3,786.63GBP","£3,786.63GBP",Fender Custom Shop 1969 Reverse Headstock Stratocaster - Aged Olympic White,Mint
£199GBP,£199GBP,Yamaha Pacifica 120H Black,Excellent
"£1,500GBP","£1,500GBP",Hamer USA Gold Top P90s Guitar Vintage 1990s VGC.,Very Good
"£3,354.84GBP","£3,354.84GBP",Fender Custom Shop 1956 Stratocaster Rosewood Neck Closet Classic Aged Lake Placid Blue,Mint
£150GBP,£150GBP,"Jackson JS22 hardly used, full pro restring and set up",Excellent
£907.78GBP,£907.78GBP,Ibanez RG2770Z-SR 2010-2012 Spinel Red,Very Good
"£2,900GBP","£3,200",Suhr Signed Guthrie Govan Antique Modern 2012 Aged Sunburst,Good
£315.75GBP,£315.75GBP,Silvertone 1413 1972-74 Sunburst,Excellent
£910.30GBP,£910.30GBP,Hondo Lazer XK53 80’s Black,Good
£315.75GBP,£315.75GBP,Paul Reed Smith Santana SE,Excellent
"£3,354.84GBP","£3,354.84GBP",Fender Custom Shop 1968 Stratocaster Relic Aged Vintage White,Mint
"£1,337.99GBP","£1,337.99GBP",Vox Phantom 1966 Yellow,Excellent
"£3,856.10GBP","£3,856.10GBP",Dwight Volk 2020 Grey,Excellent
"£1,073.54GBP","£1,262.99",USED Fender James Burton Telecaster (431),Very Good
"£1,233.87GBP","£1,233.87GBP",Aria Pro 2 LS600 1980 Nitro Honeyburst / Black refinish + Case,Very Good
"£1,420.88GBP","£1,420.88GBP",Ibanez 540P-TC / 540PTC / Power Triple Coil 1988 Five Alarm Red,Very Good
£426.25GBP,£426.25GBP,PRS SE Mira Electric Guitar Frost Blue Metallic Mint Green Pickguard,Excellent
"£1,015.68GBP","£1,015.68GBP",Fender Stratocaster USA 1995 Sunburst,Excellent
£529GBP,£529GBP,PRS SE Bernie Marsden,Excellent
£354.79GBP,£354.79GBP,Ibanez PS40BK Electric Guitar Stanley Signature Black,Mint
"£5,099.15GBP","£5,999",Gibson Custom Shop Spiderman Les Paul 2000,Mint
£116.71GBP,£116.71GBP,Ibanez Gio Gax30,Very Good
"£2,800GBP","£2,800GBP",Fender Custom Shop '59 Stratocaster Heavy Relic Daphne Blue USED!!,Excellent
£236.02GBP,£236.02GBP,"RARE, ""Special"" Edition, Squier Telecaster Standard, 2004s, Amber & Walnut",Good
"£2,983.05GBP","£2,983.05GBP",Fender LTD 1956 Roasted Neck Stratocaster - Aged Black,Mint
£685.02GBP,£799.19,2004 Fender Jaguar JG-66 Reissue Candy Apple Red - Matching Headstock - CIJ Japan,Good
£184.52GBP,£217.08,B.C. Rich Warlock Bronze Series Electric Guitar - Ready to Play!,Good
£250GBP,£250GBP,Ibanez SA460QM-ABB Standard 2010s Antique Brown Burst,Excellent
£229GBP,£229GBP,Westfild E 4000 Tobacco Sunburst,Excellent
£932.71GBP,£932.71GBP,Fender Muddy Waters Artist Series Signature Telecaster,Very Good
"£1,399GBP","£1,399GBP",Gibson Firebird Black,Mint
£296.02GBP,£296.02GBP,Vintage V6 Reissued 2019 Aged White/Cream,Excellent
£149GBP,£149GBP,Yamaha EG 012,Very Good
£218.06GBP,£256.55,ESP / LTD MH-250 Electric Guitar w/ Gig Bag - Ready to Play!,Good
"£3,091.30GBP","£3,091.30GBP",1989 Gibson Les Paul Standard,Excellent
"£2,983.05GBP","£2,983.05GBP",Fender Custom Shop LTD 1960 Roasted Neck Stratocaster - Purple Sparkle Purple Sparkle,Mint
£933.65GBP,£933.65GBP,Epiphone Slash Lp Standard 2008 Tobacco Burst,Excellent
"£1,657.22GBP","£1,657.22GBP",Fender Stratocaster JV ST57-65 1983 Olympic white,Good
"£3,391.94GBP","£3,391.94GBP",Fender 1969 Reverse Headstock Stratocaster - 3-Tone Sunburst,Mint
"£4,005.34GBP","£4,005.34GBP",Ibanez JEM777-LG Steve Vai 30th Anniversary Limited Edition with Pink Pickups 2017 Loch Ness Green,Mint
"£1,899.05GBP","£1,999",Gibson Les Paul Standard 1999 Cherry Sunburst,Excellent
"£1,914.23GBP","£1,914.23GBP",Charvel Guthrie Govan USA Signature HSH Caramelized Ash 2018 Natural Caramelized Ash,Very Good
"£1,729.11GBP","£1,729.11GBP",1960 Airline Town & Country,Very Good
"£1,120.37GBP","£1,120.37GBP",Paul Reed Smith SE Mark Tremonti Custom 2017 - 2020,Excellent
"£1,610.33GBP","£1,894.50",Fender Stratocaster XII MIJ electric 12-String guitar w / Gator Tweed Case,Excellent
"£1,820.61GBP","£1,820.61GBP",Fender Telecaster Custom Shop 1952 California Beach Pacific Green Surf 2004,Very Good
£334.81GBP,£393.90,B.C. Rich Beast Bronze Series Electric Guitar - Ready to Play!,Excellent
£197.94GBP,£232.87,Jackson JS30RR Rhodes Electric Guitar - Ready to Play!,Excellent
"£1,624.54GBP","£1,624.54GBP",Gibson SG '61 Reissue,Excellent
£699.99GBP,£699.99GBP,Jackson SL3X 2017-18 Neon Pink,Excellent
"£1,610.33GBP","£1,894.50",Fender 2004 50TH Anniversary Strat - Dual Humbuckers & Custom Pickguard USA,Excellent
"£1,550GBP","£1,550GBP",2011 Fender Telecaster American Deluxe in Pearl White finish and hard shell case,Good
£629GBP,£629GBP,Schecter Hellraiser Diamond Series,Very Good
"£1,799GBP","£1,799GBP",PRS CUSTOM 10 2004 Heritage Sunburst,Very Good
£354.43GBP,£354.43GBP,Jackson X-Series Dinky DKAF7 MS 7-String Multi-Scale Guitar – Gloss Black,Excellent
£903.39GBP,£903.39GBP,Gibson SG Tribute SN:0160 ≒2.85kg 2019 Walnut Vintage Gloss,Mint
£890.70GBP,£890.70GBP,2019 Gibson Les Paul Special Tribute DC,Excellent
£218.06GBP,£256.55,ESP / LTD MH-250 Electric Guitar w/ Gig Bag - Ready to Play!,Good
£154.05GBP,£154.05GBP,Lag Hotline,Good
£149.38GBP,£149.38GBP,Lag Arkane 60 Red,Mint
£214.74GBP,£214.74GBP,Ibanez Ergodyne Edr 170,Very Good
£551.77GBP,£551.77GBP,Jackson Pro Series Soloist SL2P Seymour Duncan Electric Guitar - Aqua Shok,Excellent
£903.39GBP,£903.39GBP,Gibson SG Tribute SN:0013 ≒2.80kg 2019 Vintage Cherry Satin,Mint
£149.38GBP,£149.38GBP,Schecter Omen 6,Very Good
£121.37GBP,£121.37GBP,Stagg SES50M,Very Good
£471.49GBP,£471.49GBP,2014 Schecter Damien Elite 8,Excellent
£933.65GBP,"£1,073.69",2006 Fender Stratocaster ST62-78TX CiJ - alder - slab board - Texas Specials - 3.47kg - all original,Excellent
£973.72GBP,£973.72GBP,Gibson Les Paul Tribute Satin SN:0059 ≒3.75kg 2019 Iced Tea,Mint
£753.53GBP,£753.53GBP,Fender 2012 American Special Telecaster Mod,Very Good
£233.41GBP,£233.41GBP,Cort Zenox Z44,Very Good
£250GBP,£400,Parker Pm - 20 Hornet Quilted Bubinga,Good
£200GBP,£225,Westone Spectrum ST 1980s Red,Good
£973.72GBP,£973.72GBP,Gibson Les Paul Tribute Satin SN:0241 ≒3.55kg 2019 Cherry Sunburst,Mint
"£1,773.93GBP","£1,773.93GBP",Gibson SG Supreme 2000 Cherry Burst,Good
£700.23GBP,£793.60,ESP Edwards E-LP-113LTC 2010 Vintage White,Good
"£1,620.08GBP","£1,800.09",Gibson Les Paul Traditional SN:4840 ≒4.20kg 2019 Heritege Cherry Sunburst,Mint
£885.39GBP,£983.77,Fender Made in Japan Traditional 60s Jazzmaster SN:9229 ≒3.70kg 2017 Blue Flower (Free Shipping!),Mint
"£2,450GBP","£2,450GBP",2009 Yamaha Arctic White SG 2000 with hard shell case,Good
"£4,500GBP","£4,500GBP",Aria Black Widow Mosrite Acoustic Matsumoku 1968-1972 Black,Very Good
£908.42GBP,£908.42GBP,Fender Made in Japan Hybrid 60s Stratocaster SN:7689 ≒3.55kg 2019 CFM (Free Shipping!),Mint
£933.65GBP,£933.65GBP,Levinson Blade RH2 1992 Honey,Excellent
£550.85GBP,£550.85GBP,G&L Legacy*Made in Korea*Di Marzio Chopper Bridge pickup*2 G&L USA Singlecoils*very rare*super sound,Excellent
£769.64GBP,£769.64GBP,Fender American Standard Stratocaster with Maple Fretboard 2008 - 2012 Charcoal Frost Metallic,Excellent
£851.48GBP,£946.09,Fender Made in Japan Hybrid 50s Stratocaster HSS SN:2410 ≒3.45kg 2019 US Blonde (Free Shipping!),Mint
£500GBP,£575,Gordon Smith 2015 GS-2 60 - 2015 White,Excellent
£783.67GBP,£870.74,Fender Made in Japan Hybrid 50s Stratocaster SN:6793 ≒3.40kg 2019 Fiesta Red (Free Shipping!),Mint
£932.86GBP,"£1,036.52",Fender Fender Made in Japan Hybrid 60s Telecaster Deluxe SN:6617 ≒3.35kg 2019 Black (Free Shipping!),Mint
£817.58GBP,£908.42,Fender Made in Japan Hybrid 60s Stratocaster SN:6094 ≒3.50kg 2019 BMM (Free Shipping!),Mint
£350GBP,£350GBP,Epiphone Les paul,Excellent
"£8,963GBP","£8,963GBP",Original 1960 Gibson Les Paul Special Double Cutaway In Cherry Finish,Excellent
£334.90GBP,£334.90GBP,Killer KG-PIRATES[USED][Made in Japan][IKE011],Good
"£1,931.77GBP","£1,931.77GBP","Gibson Les Paul, Standard, Ebony, USA 2005, OHSC",Very Good
£522.84GBP,£522.84GBP,Guitare Electrique Fender Player Telecaster MN Black Brillant,Mint
"£1,184.05GBP","£1,184.05GBP",Vintage 1994 Fender Strat Plus Deluxe w/ Case - Vintage Blonde,Very Good
"£1,381.41GBP","£1,381.41GBP","1996 Gibson Flying V '67 Cherry with Ebony Fingerboard, FREE Worldwide SHIPPING",Fair
"£1,120.37GBP","£1,120.37GBP",Ibanez Iceman IC 300 Made in Japan 1995 Black,Excellent
£420.95GBP,£420.95GBP,G&L ASAT Deluxe Tribute,Excellent
"£2,052.37GBP","£2,052.37GBP","1996 Gibson Les Paul Standard Electric Guitar Ebony w/ Case, Burstbucker PAF",Excellent
£640GBP,£640GBP,Paul Reed Smith SE Custom 24 2019 Charcoal Burst,Mint
"£1,785GBP","£1,785GBP",Fender 40th Anniversary American Standard Stratocaster with Rosewood Fretboard 1994 Sunburst,Mint
£649GBP,£649GBP,Legator Ninja 7 Multiscale,Mint
